NCBItaxID	Taxonomy	Species	RefSeqCounts
ncbi_1806507		Bacillus sp. Co1-6	1
ncbi_2267265		Bacillus sp. DM2	1
ncbi_1955699		Bacillus sp. DSM 27956	1
ncbi_1581034		Bacillus sp. FJAT-21955	1
ncbi_1720554		Bacillus sp. FJAT-28573	1
ncbi_2108537		Bacillus sp. GBSC66	1
ncbi_2108545		Bacillus sp. GBSW19	1
ncbi_1378086		Bacillus sp. GL120224-02	1
ncbi_936600		Bacillus sp. GZT	1
ncbi_2058879		Bacillus sp. HMA207	1
ncbi_1827146		Bacillus sp. IHB B 7164	1
ncbi_1414718		Bacillus sp. JCA	1
ncbi_1460639		Bacillus sp. JCM 19045	1
ncbi_1460640		Bacillus sp. JCM 19046	1
ncbi_1972845		Bacillus sp. KbaB1	1
ncbi_1978340		Bacillus sp. KbaL1	1
ncbi_1586646		Bacillus sp. L_1B0_5	1
ncbi_1588630		Bacillus sp. L_1B0_8	1
ncbi_1866312		Bacillus sp. L27	1
ncbi_1628211		Bacillus sp. LK10	1
ncbi_2108542		Bacillus sp. LNXM10	1
ncbi_2108544		Bacillus sp. LNXM12-1	1
ncbi_2009331		Bacillus sp. MD-5	1
ncbi_2293323		Bacillus sp. MT	1
ncbi_1827288		Bacillus sp. MYb78	1
ncbi_2108536		Bacillus sp. NMCN1	1
ncbi_2108535		Bacillus sp. NMCN6	1
ncbi_313627		Bacillus sp. NRRL B-14911	1
ncbi_2135739		Bacillus sp. OK077	1
ncbi_2135742		Bacillus sp. OV752	1
ncbi_1866317		Bacillus sp. P14-1	1
ncbi_2249214		Bacillus sp. PF5	1
ncbi_2138209		Bacillus sp. Rc4	1
ncbi_1736425		Bacillus sp. Root11	1
ncbi_1736451		Bacillus sp. Root131	1
ncbi_1907421		Bacillus sp. RU27A	1
ncbi_1761768		Bacillus sp. ru9509.4	1
ncbi_1907306		Bacillus sp. RUTrin4	1
ncbi_1071079		Bacillus sp. SB47	1
ncbi_1774743		Bacillus sp. SDLI1	1
ncbi_1414648		Bacillus sp. SGD-V-76	1
ncbi_563169		Bacillus sp. SJ-10	1
ncbi_2058086		Bacillus sp. SN32	1
ncbi_2200762		Bacillus sp. SUBG0010	1
ncbi_1565146		Bacillus sp. UMTAT18	1
ncbi_1380371		Bacillus sp. UNC125MFCrub1.1	1
ncbi_1502772		Bacillus sp. UNCCL13	1
ncbi_1761769		Bacillus sp. v-76	1
ncbi_1938744		Bacillus sp. V-88	2
ncbi_2499077		Bacillus sp. VKPM B-3276	1
ncbi_1848047		Bacillus sp. VT 712	1
ncbi_1234146		Bacillus sp. WBUNB001	1
ncbi_2448811		Bacillus sp. WR11	1
ncbi_2108548		Bacillus sp. YBWC18	1
ncbi_691698		Bacillus sp. YF23	1
ncbi_1574141		Bacillus sp. YP1	1
ncbi_2093834		Bacillus sp. ZY-1-1	1
ncbi_2320106		bacterium 1XD42-44	1
ncbi_2320116		bacterium 1xD8-6	1
ncbi_2320104		bacterium D16-54	1
ncbi_2320105		bacterium D16-56	1
ncbi_2320098		bacterium D16-59	1
ncbi_1562701		bacterium endosymbiont of Mortierella elongata FMR23-6	1
ncbi_1120746		bacterium MS4	2
ncbi_1912896		Bacteroides koreensis	1
ncbi_1912894		Bacteroides kribbi	1
ncbi_469588		Bacteroides sp. 2_1_22	1
ncbi_457392		Bacteroides sp. 3_2_5	1
ncbi_2292913		Bacteroides sp. AF04-22	1
ncbi_2292915		Bacteroides sp. AF15-14LB	1
ncbi_2292917		Bacteroides sp. AF16-29	1
ncbi_2292918		Bacteroides sp. AF16-7	1
ncbi_2292922		Bacteroides sp. AF25-17LB	1
ncbi_2292925		Bacteroides sp. AF25-5LB	1
ncbi_2292926		Bacteroides sp. AF26-10BH	1
ncbi_2292194		Bacteroides sp. AF27-33	1
ncbi_2292934		Bacteroides sp. AF37-16AC	1
ncbi_2292000		Bacteroides sp. AM07-16	1
