Order	Rank	NCBItaxID	SciNameFull	SciNameFull_found	Taxonomy	SciName	Found_Taxonomy			
2	P2	417295	unclassified Verrucomicrobia (miscellaneous)		d__Bacteria|p__Verrucomicrobia	Verrucomicrobia (miscellaneous)	d__Bacteria|p__Verrucomicrobia		Calyptogena okutanii thioautotrophic gill symbiont	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|s__Calyptogena okutanii thioautotrophic gill symbiont
2	P1	452284	Ustilaginomycotina		d__Fungi|p__Basidiomycota	Ustilaginomycotina	d__Fungi|p__Basidiomycota		Candidatus Phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
2	P1	2204096	Wallemiomycotina		d__Fungi|p__Basidiomycota	Wallemiomycotina	d__Fungi|p__Basidiomycota		Candidatus Phytoplasma	d__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales|f__Acholeplasmataceae|g__Candidatus Phytoplasma
3	C1	1643818	Actinobacteria incertae sedis	Actinobacteria	d__Bacteria|p__Actinobacteria|c__Actinobacteria	Actinobacteria 	d__Bacteria|p__Actinobacteria|c__Actinobacteria		Eukaryota	d__Eukaryota
3	C1	355688	Agaricomycetes incertae sedis	Agaricomycetes	d__Eukaryota|p__Basidiomycota|c__Agaricomycetes	Agaricomycetes 	d__Fungi|p__Basidiomycota|c__Agaricomycetes		Eukaryota	d__Eukaryota
3	C1	452333	Agaricomycetidae		d__Fungi|p__Basidiomycota|c__Agaricomycetes	Agaricomycetidae	d__Fungi|p__Basidiomycota|c__Agaricomycetes		Eukaryota	d__Eukaryota
3	C2	198346	Candidatus Baumannia		d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	Candidatus Baumannia	d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria		Eukaryota	d__Eukaryota
3	C1	451870	Chaetothyriomycetidae		d__Fungi|p__Ascomycota|c__Eurotiomycetes	Chaetothyriomycetidae	d__Fungi|p__Ascomycota|c__Eurotiomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C1	159987	Dothideomycetes incertae sedis	Dothideomycetes	d__Eukaryota|p__Ascomycota|c__Dothideomycetes	Dothideomycetes 	d__Fungi|p__Ascomycota|c__Dothideomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C1	451867	Dothideomycetidae	Dothideomycetes	d__Eukaryota|p__Ascomycota|c__Dothideomycetes	Dothideomycetidae	d__Fungi|p__Ascomycota|c__Dothideomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C1	451871	Eurotiomycetidae	Eurotiomycetes	d__Eukaryota|p__Ascomycota|c__Eurotiomycetes	Eurotiomycetidae	d__Fungi|p__Ascomycota|c__Eurotiomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C1	222543	Hypocreomycetidae		d__Fungi|p__Ascomycota|c__Sordariomycetes	Hypocreomycetidae	d__Fungi|p__Ascomycota|c__Sordariomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C1	221903	Leotiomycetes incertae sedis	Leotiomycetes	d__Eukaryota|p__Ascomycota|c__Leotiomycetes	Leotiomycetes 	d__Fungi|p__Ascomycota|c__Leotiomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C1	451868	Pleosporomycetidae	Pleosporales	d__Eukaryota|p__Ascomycota|c__Dothideomycete	Pleosporomycetidae	d__Fungi|p__Ascomycota|c__Dothideomycetes		Ascomycota	d__Eukaryota|p__Ascomycota
3	C2	2175150	PS1 clade		d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	PS1 clade	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria		Ascomycota	d__Eukaryota|p__Ascomycota
3	C2	62654	SAR116 cluster		d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	SAR116 cluster	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria		Dothideomycetes	d__Eukaryota|p__Ascomycota|c__Dothideomycetes
3	C1	222544	Sordariomycetidae		d__Fungi|p__Ascomycota|c__Sordariomycetes	Sordariomycetidae	d__Fungi|p__Ascomycota|c__Sordariomycetes		Zalariaceae	d__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Dothideales|f__Zalariaceae
