NCBItaxID	Species	Taxonomy
ncbi_1647103	Citromicrobium sp. RCC1878	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. RCC1878
ncbi_1647104	Citromicrobium sp. RCC1885	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. RCC1885
ncbi_1812182	Citromicrobium sp. RCC1897	root|_d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Citromicrobium|s__Citromicrobium sp. RCC1897
ncbi_1291006	Clavibacter cf. michiganensis LMG 26808	root|_d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae|g__Clavibacter|s__Clavibacter michiganensisClavibacter cf. michiganensis LMG 26808
ncbi_2292274	Clostridiaceae bacterium OM08-6BH	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__|s__Clostridiaceae bacterium OM08-6BH
ncbi_457421	Clostridiales bacterium 1_7_47FAA	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium 1_7_47FAA
ncbi_1232449	Clostridiales bacterium VE202-08	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-08
ncbi_1232447	Clostridiales bacterium VE202-09	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-09
ncbi_1232444	Clostridiales bacterium VE202-15	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-15
ncbi_1232445	Clostridiales bacterium VE202-16	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-16
ncbi_1232446	Clostridiales bacterium VE202-18	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-18
ncbi_1232454	Clostridiales bacterium VE202-26	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-26
ncbi_1232458	Clostridiales bacterium VE202-29	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__|s__Clostridiales bacterium VE202-29
ncbi_1776385	Clostridium massiliodielmoense	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium massiliodielmoense
ncbi_2320084	Clostridium sp. 1xD42-85	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. 1xD42-85
ncbi_457396	Clostridium sp. 7_2_43FAA	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. 7_2_43FAA
ncbi_2292200	Clostridium sp. AF12-19	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF12-19
ncbi_2292201	Clostridium sp. AF12-28	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF12-28
ncbi_2292997	Clostridium sp. AF15-49	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF15-49
ncbi_2292999	Clostridium sp. AF16-25	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF16-25
ncbi_2293000	Clostridium sp. AF17-2	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF17-2
ncbi_2293001	Clostridium sp. AF17-21AC	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF17-21AC
ncbi_2292203	Clostridium sp. AF18-27	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF18-27
ncbi_2292204	Clostridium sp. AF19-22AC	root|_d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium sp. AF19-22AC
