	superkingdom		phylum		class		order		family		genus		species	Full	SciNameFull_found
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Macavirus	|s__	Alcelaphine gammaherpesvirus 1	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Alcelaphine gammaherpesvirus 1	Alcelaphine gammaherpesvirus 1
d__	Viruses					|o__	Herpesvirales	|f__	Herpesviridae	|g__	Macavirus	|s__	Alcelaphine gammaherpesvirus 2	d__Viruses|o__Herpesvirales|f__Herpesviridae|g__Macavirus|s__Alcelaphine gammaherpesvirus 2	Alcelaphine gammaherpesvirus 2
d__	Viruses							|f__	Microviridae			|s__	Alces alces faeces associated microvirus MP10 5560	d__Viruses|f__Microviridae|s__Alces alces faeces associated microvirus MP10 5560	Alces alces faeces associated microvirus MP10 5560
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae	|g__	Sripuvirus	|s__	Almpiwar sripuvirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Sripuvirus|s__Almpiwar sripuvirus	Almpiwar sripuvirus
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria							|s__	alpha proteobacterium Mf 1.05b.01	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha proteobacterium Mf 1.05b.01	alpha proteobacterium Mf 1.05b.01
d__	Viruses					|o__	Nidovirales	|f__	Coronaviridae	|g__	Alphacoronavirus			d__Viruses|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus	Alphacoronavirus
d__	Viruses					|o__	Nidovirales	|f__	Coronaviridae	|g__	Alphacoronavirus			d__Viruses|o__Nidovirales|f__Coronaviridae|g__Alphacoronavirus	Alphacoronavirus
d__	Viruses					|o__	Nidovirales	|f__	Mesoniviridae	|g__	Alphamesonivirus			d__Viruses|o__Nidovirales|f__Mesoniviridae|g__Alphamesonivirus	Alphamesonivirus
d__	Viruses					|o__	Nidovirales	|f__	Mesoniviridae	|g__	Alphamesonivirus			d__Viruses|o__Nidovirales|f__Mesoniviridae|g__Alphamesonivirus	Alphamesonivirus
d__	Viruses					|o__	Nidovirales	|f__	Mesoniviridae	|g__	Alphamesonivirus	|s__	Alphamesonivirus 1	d__Viruses|o__Nidovirales|f__Mesoniviridae|g__Alphamesonivirus|s__Alphamesonivirus 1	Alphamesonivirus 1
d__	Viruses					|o__	Nidovirales	|f__	Mesoniviridae	|g__	Alphamesonivirus	|s__	Alphamesonivirus 1	d__Viruses|o__Nidovirales|f__Mesoniviridae|g__Alphamesonivirus|s__Alphamesonivirus 1	Alphamesonivirus 1
d__	Viruses					|o__	Nidovirales	|f__	Mesoniviridae	|g__	Alphamesonivirus	|s__	Alphamesonivirus 2	d__Viruses|o__Nidovirales|f__Mesoniviridae|g__Alphamesonivirus|s__Alphamesonivirus 2	Alphamesonivirus 2
d__	Viruses					|o__	Nidovirales	|f__	Mononiviridae	|g__	Alphamononivirus			d__Viruses|o__Nidovirales|f__Mononiviridae|g__Alphamononivirus	Alphamononivirus
d__	Viruses							|f__	Papillomaviridae	|g__	Alphapapillomavirus	|s__	Alphapapillomavirus 1	d__Viruses|f__Papillomaviridae|g__Alphapapillomavirus|s__Alphapapillomavirus 1	Alphapapillomavirus 1
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria									d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	Alphaproteobacteria
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria									d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	Alphaproteobacteria
d__	Bacteria	|p__	Proteobacteria	|c__	Alphaproteobacteria									d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	Alphaproteobacteria
d__	Eukaryota	|p__	Ascomycota	|c__	Dothideomycetes	|o__	Pleosporales	|f__	Pleosporaceae	|g__	Alternaria			d__Eukaryota|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Pleosporaceae|g__Alternaria	Alternaria
d__	Bacteria	|p__	Proteobacteria	|c__	Gammaproteobacteria	|o__	Alteromonadales							d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	Alteromonadales
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae	|g__	Vesiculovirus	|s__	American bat vesiculovirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Vesiculovirus|s__American bat vesiculovirus	American bat vesiculovirus
d__	Viruses	|p__	Negarnaviricota	|c__	Monjiviricetes	|o__	Mononegavirales	|f__	Rhabdoviridae	|g__	Vesiculovirus	|s__	American bat vesiculovirus	d__Viruses|p__Negarnaviricota|c__Monjiviricetes|o__Mononegavirales|f__Rhabdoviridae|g__Vesiculovirus|s__American bat vesiculovirus	American bat vesiculovirus
d__	Viruses							|f__	Poxviridae	|g__	Betaentomopoxvirus	|s__	Amsacta moorei entomopoxvirus	d__Viruses|f__Poxviridae|g__Betaentomopoxvirus|s__Amsacta moorei entomopoxvirus	Amsacta moorei entomopoxvirus
