Species	CMC001.A0101	CMC001.A0201	CMC001.B0201	CMC002.A0201	CMC002.B0201	CMC003.A0201	CMC003.B0101	CMC004.A0101	CMC004.B0201	CMC005.A0202	CMC005.B0101	CMC006.A0101	CMC006.B0201	CMC007.B0101	CMC008.A0101	CMC008.B0201	CMC009.A0202	CMC009.B0101	CMC010.A0101	CMC010.B0201	CMC011.A0201	CMC011.B0101	CMC012.A0201	CMC012.B0201	CMC013.A0201	CMC013.B0101	CMC014.A0101	CMC015.A0201	CMC015.B0201	CMC016.A0101	CMC016.A0102	CMC017.A0201	CMC017.B0201	CMC018.A0101	CMC018.B0101	CMC020.A0101	CMC020.B0101	CMC021.A0201	CMC021.B0201	CMC022.A0101	CMC022.B0101	CMC023.A0301	CMC024.A0101	CMC024.B0101	CMC025.A0201	CMC026.A0101	CMC026.B0101	CMC027.A0201	CMC027.B0201	CMC028.A0101	CMC028.B0101	CMC029.A0201	CMC029.B0201	CMC030.A0101	CMC030.B0101	CMC031.A0201	CMC031.B0201	CMC032.A0101	CMC032.B0101	CMC033.A0201	CMC033.B0201	CMC034.A0101	CMC034.B0101	CMC035.A0201	CMC035.B0201	CMC036.A0101	CMC036.B0101	CMC037.A0201	CMC037.B0201	CMC038.A0101	CMC038.B0101	CMC039.B0201	CMC040.B0101	CMC041.A0201	CMC042.A0201	CMC042.B0101	CMC043.A0101	CMC043.B0101	CMC044.A0201	CMC045.A0201	CMC045.B0201	CMC046.B0201	CMC047.A0201	JAE006.A0101	JAE007.A0101	JAE008.A0101	JAE009.A0101	JAE010.A0101	JAE012.A0101	JAE013.A0101	JAE014.A0101	JAE015.A0101	JAE016.A0101	SRR061192	SRR061294	SRR061320	SRR061365	SRR061562	SRR062083	SRR062298	SRR062299	SRR063517	SRR512767	SRR513165	SRR513768	SRR513775	SRR513828	SRR514202	SRR514239	SRR514306	SRR514329	SRR1804664	SRR1804823
Porphyromonas gingivalis	5579	9154	15473	4146	1380	10189	655	3523	2540	623	738	776	0	0	0	752	0	10775	48209	707	31216	890	926	2599	1509	0	0	28197	564	2895	2057	2813	3061	10766	157485	58092	819	105621	4024	493	11776	154632	7396	6632	156232	13423	602	146117	3612	15835	1833	29405	693	9643	447	279	0	1614	0	12862	1549	28495	590	115948	8837	1427	2273	25964	0	48123	84676	531	749	4089	36192	481	396	333	1657	5908	3253	970	0	12658	13841	18743	636904	138104	28156	4287	261261	404387	1088212	2192	3319	2933	0	2905	0	8439	3172	0	0	6116	2396	4175	0	0	6198	6075	2564	0	0
Porphyromonas gulae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	465	0	0	0	542	0	0	725	0	0	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	455	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas levii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas loveana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas macacae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas uenonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1237	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas sp. KLE 1280	414	642	8578	0	0	12107	10831	4097	774	4152	0	3733	1005	2198	1221	3416	6059	2525	1700	633	3933	5554	0	236	3510	0	0	1474	0	1669	2804	47334	3178	5001	1021	2494	0	1375	0	1495	2361	1113	1661	1295	0	6320	0	0	1225	2731	1170	242	418	404	0	362	0	730	0	30583	2053	3215	1170	6484	1061	725	21360	1956	0	7675	3241	5273	10467	1026	20912	0	0	294	325	2832	5711	1064	834	0	0	67920	9535	63950	101768	46977	4571	0	0	39222	89358	2704	16727	742416	20096	126052	3718	82186	23070	25408	0	268638	138245	0	17260	108609	83218	2456	0
Porphyromonas sp. oral taxon 278	1003	1112	12297	3593	297	25558	28676	3667	9208	6810	0	1558	624	3071	2927	7655	3557	44433	5900	2870	27012	11810	889	1964	908	0	0	808	0	7606	22330	6298	10299	9450	26620	2833	5098	4889	1219	2171	62966	12169	6437	10238	913	4614	0	1148	19300	5513	101890	8504	6481	2889	0	0	0	0	0	7039	2271	6223	2603	2370	669	4376	1239	303	0	11009	43613	17039	98403	1479	4562	1223	0	0	2518	2391	28117	5801	0	0	6459	42084	10513	18296	25435	7717	4390	7220	0	14206	1546	2569	0	502187	0	33672	3075	12913	0	16296	2617	9225	337949	0	101980	4962	134516	0	20903
Alloprevotella rava	374	456	801	2748	130	426	0	0	1949	0	438	1055	0	0	0	0	0	0	326	0	4100	681	1964	384	3150	0	575	0	0	2375	402	4645	846	2630	329	0	733	1533	1011	0	0	1248	0	439	0	296	0	204	0	0	0	295	0	0	0	0	0	0	0	0	500	347	562	1212	0	0	0	388	0	413	298	0	2003	484	802	0	0	0	553	0	1349	0	0	0	0	0	0	0	0	0	0	0	0	0	10048	0	0	0	0	12530	14084	0	0	4710	0	2402	0	0	0	0	0	0	0
Alloprevotella tannerae	739	972	3525	6842	293	423	0	0	36186	622	1056	2288	1473	596	7164	0	2885	1270	5049	938	14410	4542	9194	4423	14653	0	1696	0	0	12748	354	3817	1009	70851	2474	1163	6345	2184	9627	0	2185	1966	0	3074	5589	451	0	135	13532	0	0	0	968	945	0	0	0	0	1	0	3153	494	12154	1206	0	3192	2001	404	0	338	363	868	12864	946	3061	0	919	838	6079	0	18041	1283	0	0	0	31306	0	0	9627	0	4333	4794	23851	2363	251700	0	0	3735	0	245894	305955	0	0	54338	0	144907	0	0	0	0	127502	0	0
