#Datasets	ERR1474564.unmapped	ERR1474565.unmapped	ERR1474566.unmapped	ERR1474567.unmapped	ERR1474568.unmapped	ERR1474569.unmapped	ERR1474570.unmapped	ERR1474571.unmapped	ERR1474572.unmapped	ERR1474573.unmapped	ERR1474574.unmapped	ERR1474575.unmapped	ERR1474576.unmapped	ERR1474577.unmapped	ERR1474578.unmapped	ERR1474579.unmapped	ERR1474580.unmapped	ERR1474581.unmapped	ERR1474582.unmapped	ERR1474583.unmapped	ERR1474584.unmapped	ERR1474585.unmapped	ERR1474586.unmapped	ERR1474587.unmapped	SRS011247.unmapped	SRS011310.unmapped	SRS013506.unmapped	SRS013942.unmapped	SRS013945.unmapped	SRS014468.unmapped	SRS014692.unmapped	SRS015055.unmapped	SRS015436.unmapped	SRS015799.unmapped	SRS018359.unmapped	SRS019120.unmapped	SRS019124.unmapped	SRS019587.unmapped	SRS024281.unmapped	SRS043239.unmapped	SRS052874.unmapped	SRS056892.unmapped	SRS058105.unmapped
"Prevotella pallens"	17064.0	101059.0	7234.0	300730.0	801110.0	92656.0	471497.0	32478.0	13080.0	5710.0	9402.0	186540.0	10920.0	203228.0	22443.0	297417.0	223563.0	26167.0	24221.0	48379.0	199069.0	748762.0	856448.0	803020.0	23525.0	0.0	2065.0	4474.0	0.0	6857.0	338185.0	17770.0	2763.0	0.0	24020.0	21736.0	0.0	3585.0	0.0	10398.0	4597.0	5596.0	2720.0
"Prevotella ruminicola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella saccharolytica"	0.0	4227.0	4014.0	3274.0	0.0	2096.0	0.0	1679.0	447.0	448.0	1442.0	3597.0	963.0	847.0	1235.0	6102.0	7461.0	2511.0	2037.0	8589.0	4717.0	0.0	0.0	8972.0	0.0	0.0	0.0	3007.0	0.0	463.0	0.0	660.0	1284.0	0.0	0.0	3835.0	0.0	0.0	0.0	8059.0	0.0	0.0	0.0
"Prevotella salivae"	2226.0	36320.0	2603.0	61262.0	802215.0	55747.0	394287.0	10205.0	7653.0	6149.0	1639.0	168197.0	13100.0	237504.0	12081.0	151551.0	180401.0	9979.0	42683.0	34523.0	77740.0	87922.0	1258724.0	103725.0	6712.0	0.0	2926.0	1893.0	0.0	7581.0	162745.0	36105.0	1441.0	0.0	1496.0	5672.0	0.0	2748.0	0.0	4924.0	2920.0	3834.0	0.0
"Prevotella scopos"	29232.0	78135.0	9145.0	39637.0	305671.0	18137.0	81618.0	9583.0	9754.0	6161.0	1712.0	116138.0	7840.0	32937.0	12044.0	117104.0	94531.0	6111.0	17900.0	33493.0	55686.0	304913.0	138356.0	161404.0	10289.0	0.0	2400.0	2800.0	0.0	1377.0	36615.0	2575.0	1538.0	0.0	10396.0	17173.0	0.0	2226.0	0.0	14317.0	4727.0	0.0	0.0
"Prevotella shahii"	27646.0	24900.0	215543.0	37727.0	10867.0	4852.0	5262.0	53893.0	2794.0	397.0	349.0	5235.0	1572.0	2918.0	1143.0	4734.0	46858.0	1973.0	2871.0	53853.0	6562.0	30723.0	9392.0	341487.0	0.0	0.0	0.0	5402.0	0.0	206.0	3083.0	525.0	10237.0	0.0	2079.0	1913.0	0.0	0.0	0.0	16159.0	2548.0	0.0	0.0
"Prevotella timonensis"	0.0	1259.0	0.0	2331.0	14357.0	1271.0	0.0	0.0	518.0	0.0	0.0	3490.0	635.0	2131.0	413.0	3283.0	0.0	490.0	1212.0	2492.0	3255.0	0.0	16412.0	7955.0	0.0	0.0	3980.0	0.0	0.0	108.0	2555.0	622.0	0.0	0.0	0.0	513.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Prevotella veroralis"	6226.0	45420.0	6129.0	92481.0	544589.0	71974.0	333360.0	9920.0	19160.0	2100.0	1792.0	106571.0	46115.0	239668.0	8354.0	147259.0	66036.0	8287.0	59804.0	71948.0	108818.0	112215.0	3040391.0	152094.0	11165.0	0.0	2213.0	582.0	0.0	5482.0	18893.0	33890.0	1436.0	0.0	4011.0	3277.0	0.0	2892.0	5780.0	4531.0	0.0	10129.0	0.0
"Prevotella sp. C561"	7043.0	85395.0	5234.0	93693.0	1138057.0	73473.0	501344.0	19254.0	43826.0	8037.0	5230.0	200727.0	13479.0	392247.0	22612.0	329544.0	57913.0	8900.0	23056.0	51097.0	174459.0	211331.0	3394492.0	205094.0	7426.0	0.0	7095.0	1065.0	0.0	4529.0	112238.0	15835.0	2377.0	0.0	3096.0	5729.0	0.0	1890.0	0.0	5321.0	12371.0	2664.0	0.0
"Prevotella sp. DNF00663"	0.0	0.0	0.0	0.0	0.0	1260.0	0.0	0.0	258.0	0.0	0.0	0.0	0.0	1096.0	0.0	1280.0	0.0	0.0	0.0	0.0	1044.0	0.0	5833.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
