NCBItaxID	Species
87883	Burkholderia multivorans
95485	Burkholderia stabilis
1836045	Burkholderia sp. CQ001
82541	Cupriavidus gilardii
119219	Cupriavidus metallidurans
106590	Cupriavidus necator
96344	Cupriavidus oxalaticus
82633	Cupriavidus pauculus
47671	Lautropia mirabilis
1189126	Paraburkholderia eburnea
60549	Paraburkholderia phenazinium
92647	Paraburkholderia tropica
219649	Paraburkholderia unamae
1835254	Polynucleobacter duraquae
190721	Ralstonia insidiosa
105219	Ralstonia mannitolilytica
329	Ralstonia pickettii
305	Ralstonia solanacearum
1761899	Ralstonia sp. 25mfcol4.1
1676617	Ralstonia sp. MD27
1502763	Ralstonia sp. UNCCL144
1296669	Aquabacterium olei
391953	Aquincola tertiaricarbonis
1768242	Paucibacter sp. KCTC 42545
1861917	Piscinibacter caeni
946333	Rhizobacter gummiphilus
76731	Roseateles depolymerans
307486	Tepidimonas taiwanensis
553814	Acidovorax carolinensis
86669	Acidovorax defluvii
721785	Acidovorax ebreus
1177982	Acidovorax wautersii
1813946	Acidovorax sp. GW101-3H11
1276756	Acidovorax sp. JHL-9
232721	Acidovorax sp. JS42
358220	Acidovorax sp. KKS102
1268622	Acidovorax sp. MR-S7
1842533	Acidovorax sp. RAC01
1736527	Acidovorax sp. Root402
1736565	Acidovorax sp. Root568
1858609	Acidovorax sp. T1
179636	Alicycliphilus denitrificans
225991	Comamonas aquatica
1082851	Comamonas serinivorans
285	Comamonas testosteroni
363952	Comamonas thiooxydans
86182	Curvibacter lanceolatus
1844971	Curvibacter sp. AEP1-3
1714344	Curvibacter sp. PAE-UM
80866	Delftia acidovorans
742013	Delftia sp. Cs1-4
1031594	Extensimonas vulgaris
795665	Hydrogenophaga sp. PBC
1899350	Hydrogenophaga sp. PML113
1678129	Limnohabitans sp. 103DPR2
1678128	Limnohabitans sp. 63ED37-2
1100721	Limnohabitans sp. Rim47
1165852	Melaminivora alkalimesophila
2109914	Ottowia oryzae
2045302	Ottowia sp. Marseille-P4747
1658672	Ottowia sp. oral taxon 894
1736430	Pelomonas sp. Root1217
1736434	Pelomonas sp. Root1237
1736464	Pelomonas sp. Root1444
1736580	Pelomonas sp. Root662
296591	Polaromonas sp. JS666
433924	Pseudacidovorax intermedius
2116657	Pulveribacter suum
1484693	Rhodoferax saidenbachensis
1855285	Albidiferax sp. OV413
215580	Schlegelella thermodepolymerans
1034889	Variovorax sp. HW608
2126319	Variovorax sp. PMC12
207745	Variovorax sp. WDL1
34073	Variovorax paradoxus
151755	Xenophilus azovorans
551987	Duganella sacchari
75659	Duganella zoogloeoides
1855289	Duganella sp. CF402
1881038	Duganella sp. CF517
1665223	Herbaspirillum sp. XFZ15
55508	Janthinobacterium agaricidamnosum
29581	Janthinobacterium lividum
368607	Janthinobacterium svalbardensis
1644131	Janthinobacterium sp. 1_2014MBL_MicDiv
1566281	Janthinobacterium sp. 551a
1981504	Janthinobacterium sp. GW458P
1649647	Janthinobacterium sp. KBS0711
1938606	Janthinobacterium sp. LM6
1855295	Janthinobacterium sp. OK676
1907311	Janthinobacterium sp. TND4EL3
1881027	Janthinobacterium sp. YR213
286638	Massilia alkalitolerans
373040	Massilia aurea
1035707	Massilia namucuonensis
945844	Massilia oculi
47229	Massilia timonae
1881046	Massilia sp. PDC64
1736517	Massilia sp. Root335
1736532	Massilia sp. Root418
847	Oxalobacter formigenes
758825	Rugamonas rubra
1158293	Oxalobacteraceae bacterium AB_14
401470	Undibacterium pigrum
1852381	Duodenibacillus massiliensis
437898	Sutterella parvirubra
40545	Sutterella wadsworthensis
864051	Burkholderiales bacterium JOSHI_001
332411	Aquitalea magnusonii
211502	Conchiformibius kuhniae
153493	Conchiformibius steedae
539	Eikenella corrodens
1715021	Eikenella sp. HMSC061C02
502	Kingella denitrificans
504	Kingella kingae
1522312	Kingella negevensis
505	Kingella oralis
1056807	Morococcus cerebrosus
267212	Neisseria bacilliformis
1853278	Neisseria chenwenguii
483	Neisseria cinerea
495	Neisseria elongata
485	Neisseria gonorrhoeae
90242	Neisseria iguanae
486	Neisseria lactamica
496	Neisseria macacae
487	Neisseria meningitidis
488	Neisseria mucosa
33053	Neisseria perflava
489	Neisseria polysaccharea
607712	Neisseria shayeganii
490	Neisseria sicca
28449	Neisseria subflava
607711	Neisseria wadsworthii
28091	Neisseria weaveri
326523	Neisseria zoodegmatis
665946	Neisseria sp. GT4A_CT1
1581049	Neisseria sp. HMSC03D10
1715117	Neisseria sp. HMSC055F11
1739411	Neisseria sp. HMSC055H02
1739544	Neisseria sp. HMSC056A03
1715047	Neisseria sp. HMSC056A04
1715175	Neisseria sp. HMSC058F07
1715048	Neisseria sp. HMSC059F02
1715140	Neisseria sp. HMSC061B04
1739301	Neisseria sp. HMSC061E12
1715154	Neisseria sp. HMSC061H08
1739328	Neisseria sp. HMSC063B05
1715087	Neisseria sp. HMSC064D07
1715052	Neisseria sp. HMSC064E01
1715037	Neisseria sp. HMSC064F03
1739440	Neisseria sp. HMSC064F04
1739524	Neisseria sp. HMSC065C04
1739542	Neisseria sp. HMSC065D04
1715031	Neisseria sp. HMSC066H01
1739458	Neisseria sp. HMSC067H09
1715179	Neisseria sp. HMSC068C04
1739456	Neisseria sp. HMSC068C12
1739376	Neisseria sp. HMSC069H12
1581124	Neisseria sp. HMSC06F02
1715190	Neisseria sp. HMSC070A01
1739527	Neisseria sp. HMSC070E12
1739463	Neisseria sp. HMSC070F02
1715085	Neisseria sp. HMSC070H10
1739332	Neisseria sp. HMSC071A01
1739257	Neisseria sp. HMSC071C03
1715080	Neisseria sp. HMSC072B12
1715112	Neisseria sp. HMSC072C05
1739348	Neisseria sp. HMSC072F04
1739362	Neisseria sp. HMSC073B07
1739369	Neisseria sp. HMSC073G10
1715205	Neisseria sp. HMSC074B07
1739539	Neisseria sp. HMSC075C10
1739282	Neisseria sp. HMSC075C12
1715079	Neisseria sp. HMSC077D05
1715075	Neisseria sp. HMSC078C12
1715040	Neisseria sp. HMSC078H04
1581104	Neisseria sp. HMSC15C08
1581107	Neisseria sp. HMSC15G01
1581075	Neisseria sp. HMSC31F04
1608896	Neisseria sp. HMSC70E02
655307	Neisseria sp. KEM232
641148	Neisseria sp. oral taxon 014
712401	Neisseria sp. oral taxon 020
72	Simonsiella muelleri
1581680	Candidatus Methylopumilus turicensis
17	Methylophilus methylotrophus
1662285	Methylophilus sp. TWE2
1055487	Methylotenera versatilis
1119528	Methyloversatilis discipulorum
92003	Aromatoleum toluclasticum
857335	Candidatus Dactylopiibacterium carminicum
83767	Propionivibrio dicarboxylicus
85643	Thauera sp. MZ1T
90728	Desulfatiglans anilini
53332	Desulfobulbus elongatus
160661	Desulfobulbus mediterraneus
1986146	Desulfobulbus oralis
132132	Desulfomicrobium orale
35833	Bilophila wadsworthia
693988	Bilophila sp. 4_1_30
876	Desulfovibrio desulfuricans
