SampleID	Classified	Unclassified
CMC033.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2287731	2177848
CMC033.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1838593	2031924
CMC033.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1838593	2031924
CMC033.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1838593	2031924
CMC034.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1634128	2004614
CMC034.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1634128	2004614
CMC034.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1634128	2004614
CMC034.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1845391	1698157
CMC034.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1845391	1698157
CMC034.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1845391	1698157
CMC035.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2326185	2710783
CMC035.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2326185	2710783
CMC035.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2326185	2710783
CMC035.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2052150	2121630
CMC035.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2052150	2121630
CMC035.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2052150	2121630
CMC036.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2116659	2315171
CMC036.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2116659	2315171
CMC036.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2116659	2315171
CMC036.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2171057	1742631
CMC036.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2171057	1742631
CMC036.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2171057	1742631
CMC037.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1581629	2032218
CMC037.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1581629	2032218
CMC037.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1581629	2032218
CMC037.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2559204	1534771
CMC037.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2559204	1534771
CMC037.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2559204	1534771
CMC038.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	891444	1542431
CMC038.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	891444	1542431
CMC038.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	891444	1542431
CMC038.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	991919	2072006
CMC038.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	991919	2072006
CMC038.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	991919	2072006
CMC039.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2500355	2391487
CMC039.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2500355	2391487
CMC039.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2500355	2391487
CMC040.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1766588	2105090
CMC040.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1766588	2105090
CMC040.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1766588	2105090
CMC041.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2284040	3295901
CMC041.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2284040	3295901
CMC041.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2284040	3295901
CMC042.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1730884	1534516
CMC042.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1730884	1534516
CMC042.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1730884	1534516
CMC042.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1762946	2061108
CMC042.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1762946	2061108
CMC042.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1762946	2061108
CMC043.A0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2101379	1637670
CMC043.A0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2101379	1637670
CMC043.A0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2101379	1637670
CMC043.B0101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1841635	1406510
CMC043.B0101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1841635	1406510
CMC043.B0101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1841635	1406510
CMC044.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1694376	1659331
CMC044.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1694376	1659331
CMC044.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1694376	1659331
CMC045.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1540174	2146204
CMC045.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1540174	2146204
CMC045.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1540174	2146204
CMC045.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1695976	2000692
CMC045.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1695976	2000692
CMC045.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1695976	2000692
CMC046.B0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	2020521	2029077
CMC046.B0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	2020521	2029077
CMC046.B0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	2020521	2029077
CMC047.A0201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	3155325	1732978
CMC047.A0201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	3155325	1732978
CMC047.A0201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	3155325	1732978
EXB059.A0901.SG1.1_S0_L001_R1_001.output.1.rso.kraken	521550	546740
EXB059.A0901.SG1.1_S0_L001_R1_001.output.2.rso.kraken	521550	546740
EXB059.A0901.SG1.1_S0_L001_R1_001.output.3.rso.kraken	521550	546740
EXB059.A1001.SG1.1_S0_L001_R1_001.output.1.rso.kraken	111430	465105
EXB059.A1001.SG1.1_S0_L001_R1_001.output.2.rso.kraken	111430	465105
EXB059.A1001.SG1.1_S0_L001_R1_001.output.3.rso.kraken	111430	465105
EXB059.A1101.SG1.1_S0_L001_R1_001.output.1.rso.kraken	3229812	2381515
EXB059.A1101.SG1.1_S0_L001_R1_001.output.2.rso.kraken	3229812	2381515
EXB059.A1101.SG1.1_S0_L001_R1_001.output.3.rso.kraken	3229812	2381515
EXB059.A1201.SG1.1_S0_L001_R1_001.output.1.rso.kraken	313599	455313
EXB059.A1201.SG1.1_S0_L001_R1_001.output.2.rso.kraken	313599	455313
EXB059.A1201.SG1.1_S0_L001_R1_001.output.3.rso.kraken	313599	455313
EXB059.A1301.SG1.1_S0_L001_R1_001.output.1.rso.kraken	1045622	691353
EXB059.A1301.SG1.1_S0_L001_R1_001.output.2.rso.kraken	1045622	691353
EXB059.A1301.SG1.1_S0_L001_R1_001.output.3.rso.kraken	1045622	691353
EXB059.A1401.SG1.1_S0_L001_R1_001.output.1.rso.kraken	273115	551957
EXB059.A1401.SG1.1_S0_L001_R1_001.output.2.rso.kraken	273115	551957
EXB059.A1401.SG1.1_S0_L001_R1_001.output.3.rso.kraken	273115	551957
EXB059.A1501.SG1.1_S0_L001_R1_001.output.1.rso.kraken	110771	191298
EXB059.A1501.SG1.1_S0_L001_R1_001.output.2.rso.kraken	110771	191298
EXB059.A1501.SG1.1_S0_L001_R1_001.output.3.rso.kraken	110771	191298
EXB059.A1601.SG1.1_S0_L001_R1_001.output.1.rso.kraken	39	113
EXB059.A1601.SG1.1_S0_L001_R1_001.output.2.rso.kraken	39	113
EXB059.A1601.SG1.1_S0_L001_R1_001.output.3.rso.kraken	39	113
EXB059.A1701.SG1.1_S0_L001_R1_001.output.1.rso.kraken	114278	352686
EXB059.A1701.SG1.1_S0_L001_R1_001.output.2.rso.kraken	114278	352686
EXB059.A1701.SG1.1_S0_L001_R1_001.output.3.rso.kraken	114278	352686
EXB059.A1801.SG1.1_S0_L001_R1_001.output.1.rso.kraken	633368	749829
EXB059.A1801.SG1.1_S0_L001_R1_001.output.2.rso.kraken	633368	749829
EXB059.A1801.SG1.1_S0_L001_R1_001.output.3.rso.kraken	633368	749829
EXB059.A1901.SG1.1_S0_L001_R1_001.output.1.rso.kraken	559640	374367
EXB059.A1901.SG1.1_S0_L001_R1_001.output.2.rso.kraken	559640	374367
EXB059.A1901.SG1.1_S0_L001_R1_001.output.3.rso.kraken	559640	374367
EXB059.A2001.SG1.1_S0_L001_R1_001.output.1.rso.kraken	370642	387210
EXB059.A2001.SG1.1_S0_L001_R1_001.output.2.rso.kraken	370642	387210
EXB059.A2001.SG1.1_S0_L001_R1_001.output.3.rso.kraken	370642	387210
JAE006.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.1.rso.kraken	4108508	5891492
JAE006.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.2.rso.kraken	4108508	5891492
JAE006.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.3.rso.kraken	4108508	5891492
JAE006.A0101_S0_L001_R1_001.output.1.rso.kraken	36123219	51779236
JAE006.A0101_S0_L001_R1_001.output.2.rso.kraken	36123219	51779236
JAE006.A0101_S0_L001_R1_001.output.3.rso.kraken	36123219	51779236
JAE007.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.1.rso.kraken	4314954	5685046
JAE007.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.10M.fastq.gz.output.2.rso.kraken	4314954	5685046
