SampleID	Lines
JAE016.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	378314976
LIB050.A0101.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	1555860
LIB050.A0102.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	1086988
LIB050.A0103.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	2541800
LIB050.A0105.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	428
LIB050.A0106.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	2155888
LIB050.A0107.SG1.1_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	2639288
SRR061192_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	36637896
SRR061192_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	87685432
SRR061294_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	14659960
SRR061294_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	41513216
SRR061320_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	38286792
SRR061320_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	94131276
SRR061365_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	38719748
SRR061365_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	107645264
SRR061562_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	47906168
SRR061562_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	131854216
SRR062083_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	51985132
SRR062083_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	135117780
SRR062298_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	18413800
SRR062298_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	55889972
SRR062299_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	9053180
SRR062299_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	26772624
SRR063517_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	38927192
SRR063517_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	103874308
SRR1646030.fastq.truncated.prefixed.gz	5110616
SRR1646031.fastq.truncated.prefixed.gz	15747124
SRR1646032.fastq.truncated.prefixed.gz	654892
SRR1646033.fastq.truncated.prefixed.gz	4767460
SRR1646038.fastq.truncated.prefixed.gz	7444924
SRR1646039.fastq.truncated.prefixed.gz	4152220
SRR1646040.fastq.truncated.prefixed.gz	12860688
SRR1646041.fastq.truncated.prefixed.gz	72196
SRR1646042.fastq.truncated.prefixed.gz	5476564
SRR1646043.fastq.truncated.prefixed.gz	3400364
SRR1646044.fastq.truncated.prefixed.gz	3240496
SRR1646045.fastq.truncated.prefixed.gz	589672
SRR1646046.fastq.truncated.prefixed.gz	5612976
SRR1646047.fastq.truncated.prefixed.gz	2265288
SRR1804664_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	46434788
SRR1804664_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	110198516
SRR1804823_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	27575016
SRR1804823_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	77221384
SRR512767_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	53147324
SRR512767_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	266273756
SRR513165_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	13407744
SRR513165_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	57398148
SRR513768_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	13334164
SRR513768_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	111454928
SRR513775_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	19956020
SRR513775_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	96573328
SRR513828_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	38053808
SRR513828_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	185616156
SRR514202_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	4374652
SRR514202_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	47004476
SRR514239_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	7923372
SRR514239_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	66567624
SRR514306_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	28528188
SRR514306_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	151698956
SRR514329_S0_L001_R1_000.10M.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	13597228
SRR514329_S0_L001_R1_000.fastq.combined.fq.prefixed.extractunmapped.bam.fastq.gz	112615116
